Código,Producto,Precio,Porcentaje IVA,IVA,I.I.,Precio Final,Categoría
A01-012-0009,Procesador Amd Ryzen 7 8700g 4.2 Ghz Am5 100001236box,301.73,10.5,31.68,0.0,333.41,"Componentes Y Partes, Procesadores Amd, Procesadores Para Pc"
A01-154-1177,Procesador Intel Core I3-12100 12 Mb Cache S1700,132.1,10.5,13.87,0.0,145.97,"Componentes Y Partes, Procesadores Intel, Procesadores Para Pc"
A01-154-1194,Procesador Intel Core I3-14100 12 Mb Cache S1700,134.39,10.5,14.11,0.0,148.5,"Componentes Y Partes, Procesadores Intel, Procesadores Para Pc"
A01-154-1275,Procesador Intel Core I5-10400 2.9 Ghz 12 Mb Cache S1200,150.14,10.5,15.76,0.0,165.9,"Componentes Y Partes, Procesadores Intel, Procesadores Para Pc"
A01-154-1368,Procesador Intel Core I7-12700 25 Mb Cache S1700,318.67,10.5,33.46,0.0,352.13,"Componentes Y Partes, Procesadores Intel, Procesadores Para Pc"
A02-007-1217,Motherboard Am5 Msi Pro A620m - E,75.67,10.5,7.95,0.0,83.62,"Componentes Y Partes, Placas Madre Para Pc, Motherboards Amd Am5"
A02-118-1530,Motherboard 1200 Gigabyte H510m - K V2,67.74,10.5,7.11,0.0,74.85,"Componentes Y Partes, Motherboards Intel 1200, Placas Madre Para Pc"
A02-118-2007,Motherboard 1700 Gigabyte H610m - K V2 Ddr5,70.98,10.5,7.45,0.0,78.43,"Componentes Y Partes, Placas Madre Para Pc, Motherboards Intel 1700"
A02-118-2009,Motherboard 1700 Gigabyte B760m D3hp Ddr5,118.04,10.5,12.39,0.0,130.43,"Componentes Y Partes, Placas Madre Para Pc, Motherboards Intel 1700"
A02-118-2010,Motherboard 1700 Gigabyte H610m - K Ddr4,69.2,10.5,7.27,0.0,76.47,"Componentes Y Partes, Placas Madre Para Pc, Motherboards Intel 1700"
A03-060-1111,Memoria Sodimm Ddr4 4 Gb 3200 Sk Hynix,7.9,10.5,0.83,0.0,8.73,"Componentes Y Partes, Memoria Ram, Sodimm Notebooks"
A03-148-1001,Memoria Sodimm Ddr4 8 Gb 3200 Lexar Ld4as008g-b3200gsst,14.88,10.5,1.56,0.0,16.44,"Componentes Y Partes, Memoria Ram, Sodimm Notebooks"
A03-154-1121,Memoria Udimm Ddr4 32 Gb 3200 Crucial Ct32g4dfd832a,58.13,10.5,6.1,0.0,64.23,"Componentes Y Partes, Memoria Ram, Ddr-4"
A03-221-1306,Memoria Udimm Ddr5 8 Gb 5600 Kingston Cl46 1.1v Kvr56u46bs6-8,27.92,10.5,2.93,0.0,30.85,"Componentes Y Partes, Memoria Ram, Ddr-5"
A03-221-1308,Memoria Udimm Ddr5 16 Gb 5200 Kingston Fury Kf552c40bb-16,48.02,10.5,5.04,0.0,53.06,"Componentes Y Partes, Memoria Ram, Ddr-5"
A03-222-0002,Memoria Sodimm Ddr4 16 Gb Kingston 3200 Kvr32s22s8/16,31.38,10.5,3.29,0.0,34.67,"Componentes Y Partes, Memoria Ram, Sodimm Notebooks"
A04-003-1360,Disco Ssd 240 Gb Wd Green Wds240g3g0a Sata,42.5,10.5,4.46,0.0,46.96,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
A07-002-2000,Fuente Gamer Thermaltake Tr2 500w,39.73,21.0,8.34,0.0,48.07,"Componentes Y Partes, Fuentes De Alimentacion, Fuentes De Poder Alta Gama"
A07-006-0001,Fuente Gamer Gigabyte P650ss 650w 80 Plus Silver,46.55,21.0,9.78,0.0,56.33,"Componentes Y Partes, Fuentes De Alimentacion, Fuentes De Poder Alta Gama"
A07-100-1014,Gabiente Jalatec Gaming Jt-x94b 500w 80p,83.73,10.5,8.79,0.0,92.52,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
A07-100-1017,Gabinete Jalatec Gaming Jt-lx76 500w 80p,83.67,10.5,8.79,0.0,92.46,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
A07-107-0001,Gabinete Corsair 3500x Tg Black,92.98,10.5,9.76,0.0,102.74,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
A08-152-1011,Splitter Netmak Nm-hd6 1x2 Amplificador De Señal 4k Full Hd,5.77,21.0,1.21,0.0,6.98,"Componentes Y Partes, Edicion/captura Video, Splitter Hdmi"
A08-155-1010,Splitter Hdmi Gralf Sgf-1x2,24.8,10.5,2.6,0.0,27.4,"Componentes Y Partes, Edicion/captura Video, Splitter Hdmi"
A29-505-1006,Switch Kvm Netmak 2 Puertos Usb 4k Nm-kvm2,37.4,10.5,3.93,0.0,41.33,"Componentes Y Partes, Edicion/captura Video, Splitter Hdmi"
A40-003-1001,Placa Pci-e Riser Card 009s Usb 3.0 (pci-e-riser),10.89,10.5,1.14,0.0,12.03,"Componentes Y Partes, Pci Express, Placas Varias"
A40-003-1002,Adaptador Ngff M.2 A Pcie Mineria Riser M2 A Usb3 - Cripto (angff-m.f),5.44,10.5,0.57,0.0,6.01,"Componentes Y Partes, Pci Express, Placas Varias"
A40-003-1004,Pcie-e Riser Ver 010s-x Cripto Mineria Con Cable Sata Beyim (pci-e-v010),14.64,10.5,1.54,0.0,16.18,"Componentes Y Partes, Pci Express, Placas Varias"
A41-003-0001,Upgrade Kit Cooler Master Lga1700 603005420-gp,5.11,21.0,1.07,0.0,6.18,"Componentes Y Partes, Gabinetes Y Fuentes, Ventilacion"
A41-010-0001,Cooler Para Cpu Am4 Perfomance Amdam4,8.12,21.0,1.71,0.0,9.83,"Componentes Y Partes, Para Microprocesadores, Ventilacion"
A61-001-0992,Licencia Windows 11 Pro 64 Bit Spanish Lat 1pk Mediale,195.49,21.0,41.05,0.0,236.54,"Componentes Y Partes, Software, Windows"
I01-012-0014,Procesador Amd Ryzen 7 7800x 3d 100-100000910wof,522.18,10.5,54.83,0.0,577.01,"Componentes Y Partes, Procesadores Amd, Procesadores Para Pc"
I01-012-1012,Procesador Amd Ryzen 3 5300g 4.0 Ghz Am4 100000253box,110.97,10.5,11.65,0.0,122.62,"Componentes Y Partes, Procesadores Amd, Procesadores Para Pc"
I01-012-1018,Procesador Amd Ryzen 3 3200g 3.6 Ghz Am4 Yd3200c5fhbox,73.7,10.5,7.74,0.0,81.44,"Componentes Y Partes, Procesadores Amd, Procesadores Para Pc"
I01-017-1190,Procesador Amd Athlon 3000g 3.5 Ghz Am4 Yd3000c6fhsbx,57.44,10.5,6.03,0.0,63.47,"Componentes Y Partes, Procesadores Amd, Procesadores Para Pc"
I01-154-1174,Procesador Intel Core I3-12100f 12 Mb Cache S1700,101.2,10.5,10.63,0.0,111.83,"Componentes Y Partes, Procesadores Intel, Procesadores Para Pc"
I01-154-1258,Procesador Intel Core I5-13400f 20 Mb Cache S1700 Sin Video,185.61,10.5,19.49,0.0,205.1,"Componentes Y Partes, Procesadores Intel, Procesadores Para Pc"
